5381.607000000031, 9135.547000000088
4831.132000000025, 5121.834000000035
4966.146999999864, 5350.357000000031
5008.573999999953,
3650.9819999998854, 4306.622999999945
null, 6601.515000000063
7443.95499999996, 26353.64699999991
4277.665999999954, 5191.669000000047
16175.41899999992, 4048.4930000000077
15125.622000000021, 14509.2810000001
19193.934999999783, 6756.337999999914
16843.281000000163, null
21223.57000000011, null
5619.216000000051, 26533.20499999995
null, 16678.617999999915
17166.348999999856, 19143.894000000044
null, 4231.901999999991
,
10692.87200000008, 6608.609999999999
3604.2300000001433, 9311.217999999826
6804.979999999887, 8236.327000000074
8330.521999999974, 4853.648000000021
6748.422000000119,
4293.2049999999435, 3923.103000000083
17380.118999999922, 3857.55899999981
3907.068999999865, 4077.734999999848
20719.22500000005, 8622.841999999991
5405.696999999918, 4245.629999999892
8091.442000000143, 8253.041999999823
4633.288999999877, 4379.361000000017
3972.921000000042, 4385.585999999876
7214.169999999967, 4306.377999999995
3592.728000000079, 11734.699000000091
3966.2570000000414, 4157.271000000037
7512.208999999984, 3744.9320000000625
4752.716999999848, 4404.847999999674
4051.7799999997806,
3853.6129999997684,
4057.933000000048, 4649.477999999817
19253.36600000037, 4191.563000000315
3821.848999999929, 4515.475000000151
3936.9299999998475, 7910.531999999876
7476.854000000003, 5824.05800000015
, 4384.657999999945
3611.6910000000644, 4296.530000000075
4464.955999999802, 9627.700000000004
4674.977000000126, 5054.509000000053
3680.6440000000293, 4991.1010000000715
3914.3009999997957, 4760.778999999729
4034.3110000003435, 5380.91200000008
, 8173.648999999841
9388.922999999977,
9859.87699999987,
7679.000999999971, 4104.900000000271
7461.506999999983, 4605.46099999965
3858.940999999959,
4356.722999999874, 4177.981000000273
3824.276999999711, 7437.289999999848
8129.977999999937, 5162.063000000217
8058.633999999984, 5647.91600000035
3704.5839999996133, 4399.405000000115
4109.8180000003595, 6286.509000000024
7053.606999999829, 4708.720999999969
5389.550999999756, 7324.321999999938
8624.181000000135, 17152.129999999943
4699.506999999812,
5062.6649999999245, 4256.1570000002575
4425.069999999778, 4365.521000000172
4320.525000000089, 12837.737999999717
3647.70499999986, 5282.502000000022
, 5217.195000000174
, 4478.134999999838
4176.504999999906, 4750.744999999824
16571.654000000308, 10727.164000000357
14824.032999999872,
6327.787000000171, 6064.409000000069
5225.862000000234, 5462.126999999782
9817.000999999891, 4622.572000000218
4582.421000000068, 5335.869000000002
9516.393000000335, 4011.6949999996905
7733.321999999589, 4022.1440000000257
4230.80600000003, 4934.671999999864
4849.1039999998975, 5296.432000000095
4918.529999999919, 7818.144000000302
3894.4950000000063, 5405.8500000001
3820.835999999872, 4952.187999999751
4730.179000000135, 4530.756999999994
12699.122999999872, 7610.573999999815
4435.840999999982, 8118.466999999782
3989.4020000001547, 4721.0369999997965
7853.458000000046, 4258.878000000095
7708.621000000221, 9581.052
4230.597000000216, 9050.584999999955
, 4451.7470000000685
3939.024999999674, 5741.194000000178
4738.648000000012,
5154.950000000099, 4647.0140000001265
, 7852.577999999994
6527.384999999867, 7495.597999999973
3799.1010000000642,
